Edad;Id_animal;Tipo;Raza;color;Fecha_de_nac;Fecha_y_Hora;Mes_y_ano;Nombre;Tipo_resultado;Adquisicion;Esterilizado
2 years;A682003;Dog;Dachshund/Chihuahua Shorthair;Black/Tan;2012-06-22T00:00:00;2014-07-27T17:48:00;2014-07-27T17:48:00;*Sunshine;;Adoption;Spayed Female
3 years;A669922;Dog;Australian Cattle Dog;Blue Merle;2010-12-30T00:00:00;2013-12-31T15:40:00;2013-12-31T15:40:00;Hunter;;Return to Owner;Neutered Male
2 months;A690811;Cat;Domestic Shorthair Mix;Brown Tabby;2014-08-26T00:00:00;2014-10-28T15:23:00;2014-10-28T15:23:00;;Partner;Transfer;Intact Male
1 year;A673922;Other;Bat Mix;Black/Brown;2013-03-04T00:00:00;2014-03-05T09:34:00;2014-03-05T09:34:00;;Rabies Risk;Euthanasia;Unknown
8 months;A676948;Cat;Domestic Shorthair Mix;Torbie;2013-08-17T00:00:00;2014-04-18T14:47:00;2014-04-18T14:47:00;;SCRP;Transfer;Intact Female
2 years;A677654;Dog;Labrador Retriever/German Shepherd;Chocolate/Tan;2012-04-27T00:00:00;2014-04-28T17:11:00;2014-04-28T17:11:00;Jonsi;;Return to Owner;Spayed Female
2 months;A665896;Cat;Domestic Shorthair Mix;Orange Tabby;2013-09-30T00:00:00;2013-12-22T18:11:00;2013-12-22T18:11:00;*Willow;Foster;Adoption;Spayed Female
1 year;A665256;Cat;Domestic Shorthair Mix;Orange Tabby/White;2012-10-15T00:00:00;2013-10-15T19:02:00;2013-10-15T19:02:00;Jerry;Suffering;Euthanasia;Neutered Male
6 years;A671475;Dog;Cairn Terrier Mix;Tan;2008-01-25T00:00:00;2014-02-02T13:22:00;2014-02-02T13:22:00;Mimi;Partner;Transfer;Spayed Female
2 months;A683328;Cat;Domestic Longhair Mix;Blue/White;2014-04-24T00:00:00;2014-07-15T17:48:00;2014-07-15T17:48:00;Solo;;Adoption;Neutered Male
2 years;A677049;Dog;German Shepherd Mix;Brown/Black;2012-04-18T00:00:00;2014-04-19T14:22:00;2014-04-19T14:22:00;Luna;;Return to Owner;Spayed Female
2 years;A666395;Dog;Chihuahua Shorthair Mix;Black/Tan;2011-10-31T00:00:00;2013-11-03T17:57:00;2013-11-03T17:57:00;Sonny;;Adoption;Neutered Male
4 months;A668560;Cat;Domestic Shorthair Mix;White;2013-08-05T00:00:00;2013-12-11T17:39:00;2013-12-11T17:39:00;Powder;;Adoption;Neutered Male
14 years;A690327;Cat;Domestic Shorthair Mix;Orange Tabby;2000-10-18T00:00:00;2014-10-22T15:08:00;2014-10-22T15:08:00;Rusty;Partner;Transfer;Neutered Male
3 years;A642922;Dog;Blue Lacy/Great Dane;Tan/White;2010-12-01T00:00:00;2013-12-04T11:58:00;2013-12-04T11:58:00;Bullet;;Return to Owner;Neutered Male
9 months;A672188;Dog;Blue Lacy Mix;Blue/Tricolor;2013-05-05T00:00:00;2014-02-17T18:07:00;2014-02-17T18:07:00;Avery;;Adoption;Spayed Female
1 year;A682828;Cat;Domestic Shorthair Mix;Brown Tabby/White;2013-07-03T00:00:00;2014-07-04T09:00:00;2014-07-04T09:00:00;;SCRP;Transfer;Intact Female
9 years;A683418;Cat;Domestic Shorthair Mix;Blue/White;2005-07-10T00:00:00;2014-07-25T16:00:00;2014-07-25T16:00:00;Cindy;Partner;Transfer;Spayed Female
4 months;A676543;Dog;Jack Russell Terrier Mix;Tan;2013-12-11T00:00:00;2014-04-15T16:58:00;2014-04-15T16:58:00;;Partner;Transfer;Intact Female
6 months;A664786;Other;Bat Mix;Brown;2013-04-08T00:00:00;2013-10-10T18:45:00;2013-10-10T18:45:00;;;Disposal;Unknown
3 years;A680652;Dog;Shih Tzu Mix;White/Gray;2011-06-05T00:00:00;2014-06-08T13:58:00;2014-06-08T13:58:00;Gaspi;;Return to Owner;Intact Male
12 years;A681992;Dog;Rat Terrier;Tricolor;2002-06-22T00:00:00;2014-08-02T19:36:00;2014-08-02T19:36:00;Girlie;;Adoption;Spayed Female
3 years;A681999;Dog;Chihuahua Shorthair Mix;Tan;2011-06-22T00:00:00;2014-06-30T14:26:00;2014-06-30T14:26:00;;Partner;Transfer;Neutered Male
2 months;A664265;Cat;Domestic Shorthair Mix;Brown Tabby;2013-07-17T00:00:00;2013-10-12T18:20:00;2013-10-12T18:20:00;*Dixon;;Adoption;Neutered Male
2 days;A687690;Cat;Domestic Shorthair Mix;Black;2014-09-06T00:00:00;2014-09-08T18:52:00;2014-09-08T18:52:00;;Partner;Transfer;Unknown
2 years;A667284;Dog;Pit Bull Mix;Black;2011-11-15T00:00:00;2013-11-23T13:30:00;2013-11-23T13:30:00;;Aggressive;Euthanasia;Intact Male
1 year;A693523;Dog;Pit Bull Mix;Black Brindle/White;2013-12-09T00:00:00;2014-12-23T17:19:00;2014-12-23T17:19:00;Lilith;;Adoption;Spayed Female
1 month;A690849;Dog;Irish Setter/Pit Bull;Black;2014-09-12T00:00:00;2014-10-27T14:04:00;2014-10-27T14:04:00;Seven;Partner;Transfer;Intact Male
9 years;A672956;Dog;Miniature Pinscher Mix;Brown;2005-02-18T00:00:00;2014-02-24T15:46:00;2014-02-24T15:46:00;Princess;Partner;Transfer;Intact Female
2 years;A692813;Dog;Golden Retriever Mix;Tan;2012-11-25T00:00:00;2014-11-26T11:17:00;2014-11-26T11:17:00;Cooper;;Return to Owner;Intact Male
8 years;A632020;Dog;Labrador Retriever Mix;Black;2005-07-11T00:00:00;2013-11-26T15:18:00;2013-11-26T15:18:00;Rocky;Behavior;Euthanasia;Neutered Male
2 months;A666536;Cat;Domestic Shorthair Mix;Black;2013-09-03T00:00:00;2013-11-05T12:34:00;2013-11-05T12:34:00;;Suffering;Euthanasia;Intact Female
3 years;A591983;Dog;Labrador Retriever Mix;Black/White;2010-11-14T00:00:00;2014-02-02T14:19:00;2014-02-02T14:19:00;Shadow;Partner;Transfer;Neutered Male
4 weeks;A683875;Cat;Domestic Shorthair Mix;Blue Tabby;2014-06-16T00:00:00;2014-07-16T15:00:00;2014-07-16T15:00:00;;Partner;Transfer;Intact Male
6 months;A664929;Other;Bat Mix;Brown;2013-04-11T00:00:00;2013-10-11T10:43:00;2013-10-11T10:43:00;;Rabies Risk;Euthanasia;Unknown
1 year;A666752;Dog;Australian Kelpie/Whippet;Brown Brindle/White;2012-11-06T00:00:00;2013-11-07T18:06:00;2013-11-07T18:06:00;Floyd;;Return to Owner;Neutered Male
3 months;A667606;Cat;Domestic Shorthair Mix;Torbie;2013-10-10T00:00:00;2014-01-19T16:47:00;2014-01-19T16:47:00;*Treasure;Offsite;Adoption;Spayed Female
1 year;A685831;Dog;Great Pyrenees Mix;White;2013-02-01T00:00:00;2014-08-17T12:46:00;2014-08-17T12:46:00;Buffy;Partner;Transfer;Spayed Female
6 months;A688420;Dog;Collie Smooth Mix;White/Tan;2014-03-19T00:00:00;2014-09-23T15:35:00;2014-09-23T15:35:00;Nicholas;;Adoption;Neutered Male
2 years;A670007;Cat;Domestic Shorthair Mix;Calico;2011-12-31T00:00:00;2014-01-02T11:50:00;2014-01-02T11:50:00;;SCRP;Transfer;Spayed Female
4 weeks;A667349;Other;Rabbit Sh Mix;Brown;2013-10-16T00:00:00;2013-11-17T11:49:00;2013-11-17T11:49:00;;Partner;Transfer;Unknown
3 weeks;A686996;Cat;Domestic Shorthair Mix;Orange/White;2014-08-08T00:00:00;2014-08-30T12:57:00;2014-08-30T12:57:00;;Partner;Transfer;Intact Male
10 months;A674417;Dog;Chihuahua Shorthair Mix;Tricolor;2013-05-12T00:00:00;2014-03-17T16:35:00;2014-03-17T16:35:00;Russell;;Adoption;Neutered Male
6 months;A677306;Cat;Domestic Shorthair Mix;Brown Tabby;2014-03-01T00:00:00;2014-09-23T11:16:00;2014-09-23T11:16:00;;Foster;Adoption;Neutered Male
2 months;A691704;Cat;Domestic Shorthair Mix;Brown Tabby/White;2014-09-01T00:00:00;2014-11-18T17:01:00;2014-11-18T17:01:00;*Zander;Partner;Transfer;Intact Male
2 years;A668743;Cat;Domestic Shorthair Mix;Black;2011-12-08T00:00:00;2013-12-17T18:01:00;2013-12-17T18:01:00;*Suzanne;;Adoption;Spayed Female
2 months;A679315;Cat;Domestic Shorthair Mix;Torbie;2014-04-07T00:00:00;2014-06-29T18:55:00;2014-06-29T18:55:00;;;Adoption;Spayed Female
1 month;A685106;Cat;Domestic Shorthair Mix;Brown Tabby;2014-07-06T00:00:00;2014-09-02T18:47:00;2014-09-02T18:47:00;*Larkspur;;Adoption;Neutered Male
1 year;A690217;Dog;Great Pyrenees Mix;Brown/White;2013-04-16T00:00:00;2014-10-22T14:47:00;2014-10-22T14:47:00;Moose;Aggressive;Euthanasia;Neutered Male
1 year;A691675;Dog;Australian Kelpie Mix;Black/Tan;2013-11-12T00:00:00;2014-11-12T17:59:00;2014-11-12T17:59:00;;;Adoption;Spayed Female
3 years;A668401;Dog;Chihuahua Shorthair Mix;Brown/White;2010-12-03T00:00:00;2014-01-11T19:06:00;2014-01-11T19:06:00;Brie;Foster;Adoption;Spayed Female
5 days;A674463;Dog;Pit Bull Mix;Sable/White;2014-03-08T00:00:00;2014-03-13T14:58:00;2014-03-13T14:58:00;;Partner;Transfer;Intact Female
3 years;A671528;Cat;Domestic Shorthair Mix;White;2011-01-26T00:00:00;2014-01-27T16:25:00;2014-01-27T16:25:00;;SCRP;Transfer;Neutered Male
2 months;A665681;Dog;Chihuahua Shorthair Mix;Tan/White;2013-08-21T00:00:00;2013-10-29T17:22:00;2013-10-29T17:22:00;;;Adoption;Neutered Male
11 years;A678179;Dog;Chow Chow Mix;Gray;2003-05-05T00:00:00;2014-06-21T18:42:00;2014-06-21T18:42:00;Maggie;;Return to Owner;Spayed Female
1 month;A684965;Cat;Domestic Shorthair;Tortie;2014-07-01T00:00:00;2014-08-06T14:23:00;2014-08-06T14:23:00;*Ryan;Partner;Transfer;Intact Female
